"Taxon","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Bromus hordeaceus","Enscobase","RBGK","Italy","K_6242",0,0,0,21,0,1,116,120
"Bromus hordeaceus","Enscobase","RBGK","Malta","K_17321",0,0,0,15,0,1,20,20
"Bromus hordeaceus","Enscobase","RBGK","Malta","K_17321",0,0,0,16,0,1,70,70
"Bromus hordeaceus","Enscobase","RBGK","UK","K_12603",0,0,0,20,0,1,48,49
"Bromus hordeaceus","Enscobase","RBGK","UK","K_12603",0,0,0,21,0,1,145,150
"Bromus hordeaceus","Enscobase","RBGK","UK","K_195708",0,0,0,15,0,1,19,20
"Bromus hordeaceus","Enscobase","RBGK","UK","K_195708",0,0,0,20,0,1,20,20
"Bromus hordeaceus","Enscobase","RBGK","UK","K_39110",0,0,0,15,0,1,19,20
"Bromus hordeaceus","Enscobase","RBGK","UK","K_39110",0,0,0,16,0,1,70,70
"Bromus hordeaceus","Enscobase","RBGK","UK","K_39383",0,0,0,15,0,1,17,17
"Bromus hordeaceus","Enscobase","RBGK","UK","K_39383",0,0,0,16,0,1,69,70
"Bromus hordeaceus","Enscobase","RBGK","UK","K_53165",0,0,0,20,0,1,20,20
"Bromus hordeaceus","Enscobase","RBGK","UK","K_53165",0,0,0,21,0,1,100,100
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,0,9,1,1,87,90
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,0,17,1,1,98,98
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,0,25,1,1,99,100
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,1,9,1,1,96,96
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,1,17,1,1,98,100
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS154",0,0,1,25,1,1,99,100
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS244",0,0,0,17,1,1,80,80
"Bromus hordeaceus","SOSPRADERAS","SOSPRADERAS","Spain","SOS244",0,0,1,17,1,1,68,68
"Bromus racemosus","Enscobase","RBGK","UK","K_135229",0,0,0,21,0,1,20,20
"Carex binervis","Enscobase","RBGK","UK","K_128182",0,0,0,21,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_128182",0,0,0,26,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_128182",0,0,0,26,1,1,16,20
"Carex binervis","Enscobase","RBGK","UK","K_128182",0,0,0,31,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,0,0,21,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,0,0,26,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,0,0,26,1,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,0,0,31,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,1,0,18.33333333,1,1,14,20
"Carex binervis","Enscobase","RBGK","UK","K_135300",0,1,0,26,1,1,1,20
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,0,0,21,0,1,0,50
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,0,0,26,0,1,0,50
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,0,0,26,1,1,0,50
